# Sample number;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Sensor position;AccX;AccY;AccZ;GyroX;GyroY;GyroZ;MagX;MagY;MagZ;Init algo done;Pause;
29;0;0.619318;2.216864;9.299550;0.114779;0.337880;0.066496;0.070388;-0.337244;-0.597890;1;-0.848431;0.780506;10.283419;0.067429;0.459683;0.169042;0.033037;0.008256;-0.982976;6;9.725933;-0.926542;-0.359536;1.346851;1.059598;-1.436193;-0.541172;-0.127456;0.287834;1;0;
30;0;0.685563;2.103870;9.755005;0.021175;0.154450;-0.058887;0.084480;-0.303020;-0.633222;1;-0.337703;0.835582;9.954509;-0.087159;0.457120;0.261376;0.033552;-0.004921;-1.010672;6;9.905743;-0.693902;-0.175525;1.408079;0.812266;-1.160172;-0.526705;-0.096519;0.317286;1;0;
31;0;0.222825;2.447885;9.520133;-0.071162;0.092557;-0.059627;0.098229;-0.306923;-0.619496;1;-0.850849;0.780411;10.170140;0.067506;0.460086;0.107390;-0.005376;-0.005146;-1.009845;6;9.731840;-1.099534;-0.060743;1.256731;0.806352;-0.640030;-0.540892;-0.112090;0.302525;1;0;
32;0;0.398302;1.931511;9.691861;-0.100621;0.182871;0.095265;0.043276;-0.343209;-0.621927;1;-0.622335;1.061585;10.118573;0.098050;0.430014;0.076287;0.034218;0.012543;-1.040375;6;9.909044;-0.693160;0.004196;0.827735;1.079161;-0.548090;-0.499027;-0.113130;0.333791;1;0;
33;0;0.516151;1.932152;9.864647;-0.285589;0.185142;-0.180177;0.055896;-0.340398;-0.583465;1;-0.675281;1.174544;10.344017;0.066843;0.399360;0.014301;0.007305;-0.006143;-0.995771;6;9.897634;-0.521404;-0.594131;0.828732;1.418800;-0.855342;-0.526146;-0.065787;0.346667;1;0;
34;0;0.747396;1.932469;9.982807;-0.103317;-0.028428;-0.245509;0.083722;-0.292777;-0.622562;1;-0.919617;0.949084;9.659317;-0.178634;0.519487;-0.077186;-0.005300;0.010174;-1.010848;6;9.667342;-0.635780;-0.299493;0.735145;1.110048;-0.609028;-0.540821;-0.112916;0.318053;1;0;
35;0;0.337168;2.677569;9.523325;-0.196867;-0.337219;-0.158254;0.097871;-0.327751;-0.587928;1;-0.797341;1.005483;10.001620;-0.239955;0.549771;-0.138590;0.020576;-0.004996;-1.010396;6;9.791977;-0.634567;0.062149;0.523036;1.133242;0.033448;-0.541030;-0.129108;0.318890;1;0;
36;0;0.279381;1.873187;9.461980;-0.319230;-0.244552;-0.248400;0.056996;-0.312514;-0.643184;1;-1.029805;0.893159;9.883410;-0.240540;0.489448;-0.293331;0.033848;-0.003849;-1.025022;6;9.428381;-0.810210;-0.484357;0.527995;1.185910;0.858380;-0.540754;-0.095071;0.286160;1;0;
37;0;0.455349;2.218677;9.694181;-0.135505;-0.211919;-0.340402;0.084122;-0.323848;-0.601655;1;-0.400428;1.004492;9.726884;-0.147350;0.550544;-0.076852;0.047049;0.042187;-1.028308;6;10.084452;-0.461508;-0.051421;0.123305;1.036564;0.371550;-0.568708;-0.112498;0.302385;1;0;
38;0;0.509553;1.815821;9.523046;-0.260903;-0.517377;-0.559682;0.069988;-0.306174;-0.618797;1;-0.518084;1.060943;9.611234;0.007861;0.613632;-0.045272;0.033628;0.010400;-1.011676;6;9.961997;-0.927083;-0.355134;-0.098511;0.767731;-0.329310;-0.568917;-0.128690;0.303222;1;0;
39;0;0.512769;1.988870;9.694329;-0.506121;-0.581029;-0.468006;0.085994;-0.323506;-0.654543;1;-0.687046;1.005078;9.777479;-0.116066;0.581601;-0.076518;0.007085;0.008106;-0.982425;6;9.547089;-1.100860;-0.483392;0.176951;0.617358;-0.482404;-0.554938;-0.129313;0.318820;1;0;
40;0;0.450030;1.872822;9.408468;-0.475200;-0.519074;-0.497756;0.112364;-0.324597;-0.602353;1;-0.446682;0.779704;10.235242;0.037625;0.522231;-0.076985;0.020281;-0.006068;-0.996047;6;9.556203;-0.285323;0.119138;0.090075;1.009961;-0.025521;-0.568499;-0.096306;0.301548;1;0;
41;0;0.797845;2.103304;9.643526;-0.629577;-0.735608;-0.439495;0.084494;-0.320319;-0.615731;1;-1.143858;0.330069;9.880518;0.098401;0.460478;0.107419;0.008046;0.026642;-1.026478;6;10.141922;-1.217373;-0.233255;-0.119274;1.276296;0.768603;-0.582825;-0.128895;0.303152;1;0;
42;0;0.742652;2.333594;9.757084;-0.599638;-0.827313;-0.471740;0.084494;-0.320319;-0.615731;1;-0.624537;0.948829;10.005199;0.160734;0.492732;-0.015523;0.033552;-0.004921;-1.010672;6;9.612302;-0.925283;-0.122109;-0.082968;1.607535;1.286464;-0.540684;-0.095897;0.301688;1;0;
43;0;0.101884;2.101871;9.175340;-0.753392;-0.889145;-0.502970;0.069216;-0.278632;-0.625629;1;-1.199198;1.062616;10.049844;-0.086966;0.429474;-0.201320;0.007085;0.008106;-0.982425;6;9.780122;-1.218294;-0.659206;0.006713;1.613227;0.766539;-0.554729;-0.113120;0.317983;1;0;
44;0;0.571013;2.161394;9.753020;-0.601745;-0.946417;-0.811018;0.098972;-0.299866;-0.647648;1;-0.917415;1.061840;9.772691;0.007782;0.584578;-0.292185;-0.005671;-0.006218;-0.995495;6;9.668827;-1.274616;-0.302212;0.188925;1.836532;-0.060386;-0.568917;-0.128690;0.303222;1;0;
45;0;0.800321;1.759137;9.755785;-0.600708;-0.918119;-0.595884;0.055481;-0.292028;-0.621864;1;-0.674634;0.836561;10.343733;-0.177426;0.611683;-0.107096;0.021242;0.012468;-1.040099;6;10.085512;-1.390972;-0.115283;0.065110;1.774909;-0.059644;-0.555706;-0.176238;0.290275;1;0;
46;0;0.169077;2.218884;9.688614;-0.600958;-0.823489;-0.809022;0.113492;-0.331311;-0.627089;1;-0.683635;1.117881;9.947493;-0.210114;0.458772;-0.231956;-0.005671;-0.006218;-0.995495;6;9.790451;-0.925441;-0.058901;0.063677;1.529245;0.033222;-0.554800;-0.112294;0.302455;1;0;
47;0;0.389104;2.331672;9.238725;-0.597979;-0.644312;-0.346098;0.084108;-0.306548;-0.619146;1;-0.450956;1.117545;10.065607;0.069299;0.583953;-0.076346;-0.018496;0.024348;-0.997227;6;9.549289;-1.100365;-0.363579;-0.060575;1.561598;-0.180422;-0.555009;-0.128486;0.303292;1;0;
48;0;0.453537;1.643779;9.578062;-0.629097;-0.736999;-0.316847;0.056639;-0.333341;-0.611616;1;-0.577852;0.948295;9.496651;0.006106;0.461315;-0.200928;0.033477;-0.020241;-1.009668;6;9.781803;-0.520640;-0.476518;0.060873;1.472479;-0.394376;-0.540892;-0.112090;0.302525;1;0;
49;0;0.568496;2.563002;9.641003;-0.566664;-0.520894;-0.374851;0.083379;-0.330904;-0.573503;1;-0.857432;1.061827;9.887179;-0.053734;0.585203;-0.508025;0.020281;-0.006068;-0.996047;6;9.373612;-1.215865;-0.307467;0.219575;1.557552;0.307589;-0.527473;-0.143444;0.288742;1;0;
50;0;0.568786;2.160911;9.639314;-0.691113;-0.735199;-0.500647;0.069945;-0.254276;-0.671273;1;-0.397340;1.286287;9.897040;-0.147587;0.463380;-0.817593;0.007600;-0.005071;-1.010121;6;9.669793;-1.216293;-0.242058;0.190641;1.584879;0.613193;-0.513214;-0.128700;0.319030;1;0;
51;0;0.746117;2.161993;9.926920;-0.567614;-0.612047;-0.468333;0.083708;-0.275478;-0.640054;1;-0.334939;1.286369;10.124807;-0.209376;0.462596;-0.817650;-0.017987;-0.049039;-1.035258;6;9.672554;-0.983247;-0.061349;-0.028762;1.621942;-0.089137;-0.555080;-0.127660;0.287764;1;0;
